run,day,type,cT,cphi,cF,T,phi,F,tR_IP1,tR_TP,tR_IP2,Wh_IP1,Wh_TP,Wh_IP2
1,0,factorial,-1.0,-1.0,-1.0,40.0,0.38,0.39999999999999997,,,,,,
2,0,factorial,-1.0,-1.0,1.0,40.0,0.38,0.8,,,,,,
3,0,factorial,-1.0,1.0,-1.0,40.0,0.52,0.39999999999999997,,,,,,
4,0,factorial,-1.0,1.0,1.0,40.0,0.52,0.8,,,,,,
5,0,factorial,1.0,-1.0,-1.0,60.0,0.38,0.39999999999999997,,,,,,
6,0,factorial,1.0,-1.0,1.0,60.0,0.38,0.8,,,,,,
7,0,factorial,1.0,1.0,-1.0,60.0,0.52,0.39999999999999997,,,,,,
8,0,factorial,1.0,1.0,1.0,60.0,0.52,0.8,,,,,,
9,0,axial,-1.0,0.0,0.0,40.0,0.45,0.6,,,,,,
10,0,axial,1.0,0.0,0.0,60.0,0.45,0.6,,,,,,
11,0,axial,0.0,-1.0,0.0,50.0,0.38,0.6,,,,,,
12,0,axial,0.0,1.0,0.0,50.0,0.52,0.6,,,,,,
13,0,axial,0.0,0.0,-1.0,50.0,0.45,0.39999999999999997,,,,,,
14,0,axial,0.0,0.0,1.0,50.0,0.45,0.8,,,,,,
15,0,center,0.0,0.0,0.0,50.0,0.45,0.6,,,,,,
16,0,center,0.0,0.0,0.0,50.0,0.45,0.6,,,,,,
17,0,center,0.0,0.0,0.0,50.0,0.45,0.6,,,,,,
18,0,center,0.0,0.0,0.0,50.0,0.45,0.6,,,,,,
19,0,center,0.0,0.0,0.0,50.0,0.45,0.6,,,,,,
20,0,center,0.0,0.0,0.0,50.0,0.45,0.6,,,,,,
21,1,bridge_center,0.0,0.0,0.0,50.0,0.45,0.6,,,,,,
22,1,bridge_center,0.0,0.0,0.0,50.0,0.45,0.6,,,,,,
23,1,bridge_center,0.0,0.0,0.0,50.0,0.45,0.6,,,,,,
24,1,d_optimal,-1.0,-1.0,-1.0,40.0,0.38,0.39999999999999997,,,,,,
25,1,d_optimal,-1.0,-1.0,1.0,40.0,0.38,0.8,,,,,,
26,1,d_optimal,-1.0,1.0,-1.0,40.0,0.52,0.39999999999999997,,,,,,
27,1,d_optimal,-1.0,1.0,1.0,40.0,0.52,0.8,,,,,,
28,1,d_optimal,1.0,-1.0,-1.0,60.0,0.38,0.39999999999999997,,,,,,
29,1,d_optimal,1.0,-1.0,1.0,60.0,0.38,0.8,,,,,,
30,1,d_optimal,1.0,1.0,-1.0,60.0,0.52,0.39999999999999997,,,,,,
31,1,d_optimal,1.0,1.0,1.0,60.0,0.52,0.8,,,,,,
